Date,Year,Month,Day,Start Time,End Time,Duration,MaxPfu,Region,Location,Flare Maximum (UTC),Type IIRadio Emission,Type IV,Linear Speed,Imagery/Misc
12/3/1988,1989,0,3,6:55,23:00,16:05,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1/1/1989,1989,1,1,6:55,0:00,17:05,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/2/1989,1989,5,2,9:35,12:20,2:45,32,5603,N25W84,"X2/2N  
        07/25 0843",Yes,Yes,N/A,N/A
3/1/1989,1989,3,1,16:20,22:50,6:30,"6,550",5629,S16W37,"X2/2B  
        08/12 1426",Yes,Yes,N/A,N/A
5/1/1989,1989,5,1,14:00,17:25,3:25,351,5629,S18W73,"X1/SF  
        06/15 0313",No,Yes,N/A,N/A
6/1/1989,1989,6,1,1:25,14:25,13:00,"1,430",5629,S18W84,"X20/2N  
        08/16 0123",Yes,Yes,N/A,N/A
7/1/1989,1989,7,1,6:15,9:45,3:30,986,5629,S19W88,"X2/SF  
        08/17 0121",No,No,N/A,N/A
12/2/1988,1989,0,2,17:25,15:50,22:25,258,5629,S16W100,"C8/N/A  
        08/19 2008",Yes,No,N/A,N/A
4/1/1989,1989,4,1,0:00,9:00,9:00,16,5603,S18E16,"X1/1B  
        09/03 1431",No,No,N/A,N/A
3/1/1989,1989,3,1,22:10,10:50,12:40,32,5669,S19W90,"M5/N/A  
        09/12 0814",Yes,No,N/A,N/A
12/3/1988,1989,0,3,12:00,21:00,9:00,"2,960",5698,S27W90,"X9/N/A  
        09/29 1132",No,Yes,N/A,N/A
6/1/1989,1989,6,1,2:00,10:50,8:50,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12/2/1988,1989,0,2,13:10,16:00,2:50,"42,200",5747,S27E10,"X13/4B  
        10/19 1306",Yes,Yes,N/A,N/A
3/2/1989,1989,3,2,17:55,23:50,5:55,"5,330",5747,S27W31,"X2/2B  
        10/22 1804",Yes,Yes,N/A,N/A
5/2/1989,1989,5,2,18:25,21:00,2:35,"2,530",5747,S33W61,"X5/3B  
        10/24 1829",Yes,Yes,N/A,N/A
9/2/1989,1989,9,2,14:00,10:50,20:50,24,5747,S27W90,"M4/N/A  
        10/29 0450",Yes,Yes,N/A,N/A
9/1/1989,1989,9,1,3:45,20:50,17:05,15,5769,S20W57,"M9/2B  
        11/08 1912",No,No,N/A,N/A
5/1/1989,1989,5,1,7:55,9:05,1:10,38,5786,N11W26,"X3/3B  
        11/15 0658",Yes,Yes,N/A,N/A
8/2/1989,1989,8,2,21:40,11:50,14:10,165,5800,N25W03,"M4/2B  
        11/26 1941",No,Yes,N/A,N/A
1/1/1989,1989,1,1,14:10,13:30,23:20,"3,590",5800,N24W52,"X2/3B  
        11/30 1230",No,No,N/A,N/A
9/1/1990,1990,9,1,7:05,23:15,16:10,946,5969,N31W43,"X1/2B  
        03/19 0700",Yes,Yes,N/A,N/A
